id,project_id,member_id,event_type,title,source_type,approval_status,starts_at,ends_at,created_at
2b9fdb14-822a-58b6-93db-0e33e4e52ae6,0a4f9295-ac96-59f7-b09d-fb82f68610c8,14c5dea0-99cd-5f9c-805f-c54d1c288527,deadline,[DUMMY] Daesung Automotive 긴급 발주 대응 확인 기한,manual,approved,2025-06-12T09:00:00+09:00,2025-06-12T09:00:00+09:00,2026-06-01T09:00:00+09:00
110f6df9-45c9-5059-b249-743596371c8d,0a4f9295-ac96-59f7-b09d-fb82f68610c8,1c3dbb27-e66e-5657-b375-24a86482d558,deadline,[DUMMY] Daesung Automotive 긴급 발주 대응 확인 기한,manual,approved,2025-06-14T09:00:00+09:00,2025-06-14T09:00:00+09:00,2026-06-01T09:00:00+09:00
58ead1a0-5b45-5558-9ba7-ff4a02d82905,0a4f9295-ac96-59f7-b09d-fb82f68610c8,458f1e97-c467-55f5-9f49-8de9d5d6cabf,deadline,[DUMMY] Daesung Automotive 긴급 발주 대응 확인 기한,manual,approved,2025-06-16T09:00:00+09:00,2025-06-16T09:00:00+09:00,2026-06-01T09:00:00+09:00
6a67a2cc-febe-5b8b-995f-18ac25ec278e,0a4f9295-ac96-59f7-b09d-fb82f68610c8,1c3dbb27-e66e-5657-b375-24a86482d558,deadline,[DUMMY] KET Supplier 재고 부족으로 납기 지연 가능 확인 기한,manual,approved,2025-08-07T09:00:00+09:00,2025-08-07T09:00:00+09:00,2026-06-01T09:00:00+09:00
f1fdf898-d59d-540a-887d-3398f9ce7736,0a4f9295-ac96-59f7-b09d-fb82f68610c8,458f1e97-c467-55f5-9f49-8de9d5d6cabf,deadline,[DUMMY] KET Supplier 재고 부족으로 납기 지연 가능 확인 기한,manual,approved,2025-08-09T09:00:00+09:00,2025-08-09T09:00:00+09:00,2026-06-01T09:00:00+09:00
63f3a120-a1b1-5942-bf4a-98a865bc04cc,0a4f9295-ac96-59f7-b09d-fb82f68610c8,d2079b50-ac73-51af-b94b-106cf384cfbd,deadline,[DUMMY] KET Supplier 재고 부족으로 납기 지연 가능 확인 기한,manual,approved,2025-08-11T09:00:00+09:00,2025-08-11T09:00:00+09:00,2026-06-01T09:00:00+09:00
0c13f93f-3343-558e-ad75-fe1be4528ffc,0a4f9295-ac96-59f7-b09d-fb82f68610c8,458f1e97-c467-55f5-9f49-8de9d5d6cabf,deadline,[DUMMY] Global Harness Vietnam 수출 서류 누락 통관 지연 확인 기한,manual,approved,2025-09-10T09:00:00+09:00,2025-09-10T09:00:00+09:00,2026-06-01T09:00:00+09:00
9183b3e0-059c-5e98-b70d-0806d037e0ed,0a4f9295-ac96-59f7-b09d-fb82f68610c8,d2079b50-ac73-51af-b94b-106cf384cfbd,deadline,[DUMMY] Global Harness Vietnam 수출 서류 누락 통관 지연 확인 기한,manual,approved,2025-09-12T09:00:00+09:00,2025-09-12T09:00:00+09:00,2026-06-01T09:00:00+09:00
b031cf13-a498-55eb-a215-911bbdf9b1c2,0a4f9295-ac96-59f7-b09d-fb82f68610c8,88031485-b23f-5e98-bf28-4f157180e78c,deadline,[DUMMY] Global Harness Vietnam 수출 서류 누락 통관 지연 확인 기한,manual,approved,2025-09-14T09:00:00+09:00,2025-09-14T09:00:00+09:00,2026-06-01T09:00:00+09:00
599b4350-54a4-5b43-81c6-14290559fd5f,0a4f9295-ac96-59f7-b09d-fb82f68610c8,d2079b50-ac73-51af-b94b-106cf384cfbd,deadline,[DUMMY] Mirae EV Systems 센서 케이블 반복 클레임 확인 기한,manual,approved,2025-11-06T09:00:00+09:00,2025-11-06T09:00:00+09:00,2026-06-01T09:00:00+09:00
994e3505-bd51-5b65-8ea7-3ca9acc720bd,0a4f9295-ac96-59f7-b09d-fb82f68610c8,88031485-b23f-5e98-bf28-4f157180e78c,deadline,[DUMMY] Mirae EV Systems 센서 케이블 반복 클레임 확인 기한,manual,approved,2025-11-08T09:00:00+09:00,2025-11-08T09:00:00+09:00,2026-06-01T09:00:00+09:00
23c15266-91d4-52b6-b647-f53f5681c51b,0a4f9295-ac96-59f7-b09d-fb82f68610c8,c3f365be-d56d-52d7-be68-83627bdf3e90,deadline,[DUMMY] Mirae EV Systems 센서 케이블 반복 클레임 확인 기한,manual,approved,2025-11-10T09:00:00+09:00,2025-11-10T09:00:00+09:00,2026-06-01T09:00:00+09:00
c498a820-cb58-5ccc-a9a4-35a7996146df,0a4f9295-ac96-59f7-b09d-fb82f68610c8,88031485-b23f-5e98-bf28-4f157180e78c,deadline,[DUMMY] Yazaki Parts Asia 리드타임 8주에서 12주 증가 확인 기한,manual,approved,2025-12-04T09:00:00+09:00,2025-12-04T09:00:00+09:00,2026-06-01T09:00:00+09:00
2e723631-9a2b-5fc9-9779-ddb6fefdf9e4,0a4f9295-ac96-59f7-b09d-fb82f68610c8,c3f365be-d56d-52d7-be68-83627bdf3e90,deadline,[DUMMY] Yazaki Parts Asia 리드타임 8주에서 12주 증가 확인 기한,manual,approved,2025-12-06T09:00:00+09:00,2025-12-06T09:00:00+09:00,2026-06-01T09:00:00+09:00
f37d1c0a-baf1-53fb-ad59-8417235245ab,0a4f9295-ac96-59f7-b09d-fb82f68610c8,b6ce97f8-0c0d-5492-88f5-8e92d3955338,deadline,[DUMMY] Yazaki Parts Asia 리드타임 8주에서 12주 증가 확인 기한,manual,approved,2025-12-08T09:00:00+09:00,2025-12-08T09:00:00+09:00,2026-06-01T09:00:00+09:00
