source_id,id,project_id,file_name,file_type,storage_uri,created_at,analysis_status
DOC-2022-001-001,c12b4bf0-326b-5952-a876-28aed2ab6e21,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-001-001_urgent_shipment_conflict_2022-01-10.md,other,dummy_data/2022/02_raw_documents/sales_emails/DOC-2022-001-001_urgent_shipment_conflict_2022-01-10.md,2022-01-10T09:00:00,pending
DOC-2022-001-002,a4238c69-8ed9-5347-abfc-4bbe042f627d,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-001-002_urgent_shipment_conflict_2022-01-12.md,other,dummy_data/2022/02_raw_documents/purchase_emails/DOC-2022-001-002_urgent_shipment_conflict_2022-01-12.md,2022-01-12T09:00:00,pending
DOC-2022-001-003,3d9aed06-7fc6-506a-b4be-e47ec817563b,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-001-003_urgent_shipment_conflict_2022-01-13.md,other,dummy_data/2022/02_raw_documents/quality_claims/DOC-2022-001-003_urgent_shipment_conflict_2022-01-13.md,2022-01-13T09:00:00,pending
DOC-2022-001-004,3be3092a-0ba4-5dd5-806d-c41536a534ab,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-001-004_urgent_shipment_conflict_2022-01-15.md,other,dummy_data/2022/02_raw_documents/logistics_logs/DOC-2022-001-004_urgent_shipment_conflict_2022-01-15.md,2022-01-15T09:00:00,pending
DOC-2022-001-005,f69f61b8-fae9-55ff-95c6-ff6cc271f04f,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-001-005_urgent_shipment_conflict_2022-01-17.md,other,dummy_data/2022/02_raw_documents/meeting_notes/DOC-2022-001-005_urgent_shipment_conflict_2022-01-17.md,2022-01-17T09:00:00,pending
DOC-2022-001-006,f8073236-77ec-5831-ba3f-4e103892cbde,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-001-006_urgent_shipment_conflict_2022-01-18.md,other,dummy_data/2022/02_raw_documents/chat_logs/DOC-2022-001-006_urgent_shipment_conflict_2022-01-18.md,2022-01-18T09:00:00,pending
DOC-2022-001-007,1fe2daf2-f121-5b22-bb17-f3acf2da9fe7,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-001-007_urgent_shipment_conflict_2022-01-20.md,other,dummy_data/2022/02_raw_documents/sales_emails/DOC-2022-001-007_urgent_shipment_conflict_2022-01-20.md,2022-01-20T09:00:00,pending
DOC-2022-001-008,dbf59fe7-3544-5b73-acbd-0750a1efbb62,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-001-008_urgent_shipment_conflict_2022-01-21.md,other,dummy_data/2022/02_raw_documents/purchase_emails/DOC-2022-001-008_urgent_shipment_conflict_2022-01-21.md,2022-01-21T09:00:00,pending
DOC-2022-001-009,a95864ca-8775-5043-acc0-d31695b763b3,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-001-009_urgent_shipment_conflict_2022-01-23.md,other,dummy_data/2022/02_raw_documents/quality_claims/DOC-2022-001-009_urgent_shipment_conflict_2022-01-23.md,2022-01-23T09:00:00,pending
DOC-2022-001-010,1172d333-8fd9-53a4-981e-3daf8b4ff641,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-001-010_urgent_shipment_conflict_2022-01-25.md,other,dummy_data/2022/02_raw_documents/logistics_logs/DOC-2022-001-010_urgent_shipment_conflict_2022-01-25.md,2022-01-25T09:00:00,pending
DOC-2022-001-011,5ade9295-d3b3-5e1f-8ca3-afbad108cb4b,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-001-011_urgent_shipment_conflict_2022-01-26.md,other,dummy_data/2022/02_raw_documents/meeting_notes/DOC-2022-001-011_urgent_shipment_conflict_2022-01-26.md,2022-01-26T09:00:00,pending
DOC-2022-001-012,ac7edd9f-002a-5ca8-89fa-16304b9d478e,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-001-012_urgent_shipment_conflict_2022-01-28.md,other,dummy_data/2022/02_raw_documents/chat_logs/DOC-2022-001-012_urgent_shipment_conflict_2022-01-28.md,2022-01-28T09:00:00,pending
DOC-2022-002-001,96055eaf-e694-5fff-8f71-3b0e6e0edaad,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-002-001_supplier_stock_substitute_2022-03-04.md,other,dummy_data/2022/02_raw_documents/sales_emails/DOC-2022-002-001_supplier_stock_substitute_2022-03-04.md,2022-03-04T09:00:00,pending
DOC-2022-002-002,1d986bb4-4551-5830-bb00-e6cacc2849c4,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-002-002_supplier_stock_substitute_2022-03-06.md,other,dummy_data/2022/02_raw_documents/purchase_emails/DOC-2022-002-002_supplier_stock_substitute_2022-03-06.md,2022-03-06T09:00:00,pending
DOC-2022-002-003,adfc0798-4d1c-5bfe-86b1-b69004ba7f56,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-002-003_supplier_stock_substitute_2022-03-08.md,other,dummy_data/2022/02_raw_documents/quality_claims/DOC-2022-002-003_supplier_stock_substitute_2022-03-08.md,2022-03-08T09:00:00,pending
DOC-2022-002-004,a19cc7c8-d109-5c89-ba5c-2fccef470e57,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-002-004_supplier_stock_substitute_2022-03-10.md,other,dummy_data/2022/02_raw_documents/logistics_logs/DOC-2022-002-004_supplier_stock_substitute_2022-03-10.md,2022-03-10T09:00:00,pending
DOC-2022-002-005,c80ef104-a38e-572b-bdea-e8c38eed48e7,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-002-005_supplier_stock_substitute_2022-03-12.md,other,dummy_data/2022/02_raw_documents/meeting_notes/DOC-2022-002-005_supplier_stock_substitute_2022-03-12.md,2022-03-12T09:00:00,pending
DOC-2022-002-006,ada0206f-78ba-5761-b633-6be83038ffda,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-002-006_supplier_stock_substitute_2022-03-14.md,other,dummy_data/2022/02_raw_documents/chat_logs/DOC-2022-002-006_supplier_stock_substitute_2022-03-14.md,2022-03-14T09:00:00,pending
DOC-2022-002-007,7998dfd6-5d66-52cc-8992-789536123627,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-002-007_supplier_stock_substitute_2022-03-15.md,other,dummy_data/2022/02_raw_documents/sales_emails/DOC-2022-002-007_supplier_stock_substitute_2022-03-15.md,2022-03-15T09:00:00,pending
DOC-2022-002-008,7edff1c7-78e4-5bd7-9183-8012dde5a0e2,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-002-008_supplier_stock_substitute_2022-03-17.md,other,dummy_data/2022/02_raw_documents/purchase_emails/DOC-2022-002-008_supplier_stock_substitute_2022-03-17.md,2022-03-17T09:00:00,pending
DOC-2022-002-009,5ecd178a-7a0f-591e-a43f-0e35c20d3676,586d5511-0afc-5d93-bbec-d3955db635ac,DOC-2022-002-009_supplier_stock_substitute_2022-03-19.md,other,dummy_data/2022/02_raw_documents/quality_claims/DOC-2022-002-009_supplier_stock_substitute_2022-03-19.md,2022-03-19T09:00:00,pending
